,YEAR,COUNTY,ZIP,NGROUP,AVG_WAGE
464,1989.0,20093.0,67838.0,5.0,36465.98324461
465,1989.0,20093.0,67838.0,6.0,43806.591855918996
466,1989.0,20093.0,67838.0,7.0,43806.591855918996
467,1989.0,20093.0,67838.0,8.0,43806.591855918996
468,1989.0,20093.0,67838.0,9.0,36465.98324461
469,1989.0,20093.0,67838.0,10.0,40877.35713627
470,1989.0,20093.0,67838.0,11.0,37552.335600173
471,1989.0,20093.0,67838.0,12.0,36465.98324461
472,1989.0,20093.0,67838.0,13.0,36465.98324461
473,1989.0,20093.0,67838.0,14.0,36465.98324461
474,1989.0,20093.0,67838.0,15.0,36465.98324461
475,1989.0,20093.0,67838.0,16.0,36465.98324461
476,1989.0,20093.0,67838.0,17.0,8934.062825445999
477,1989.0,20093.0,67838.0,18.0,8934.062825445999
478,1989.0,20093.0,67838.0,19.0,36465.98324461
479,1989.0,20093.0,67838.0,20.0,36465.98324461
480,1989.0,20069.0,67841.0,1.0,38327.418115717
481,1989.0,20069.0,67841.0,2.0,38327.418115717
482,1989.0,20069.0,67841.0,3.0,44468.297939667995
483,1989.0,20069.0,67841.0,4.0,29275.856079137997
484,1989.0,20069.0,67841.0,5.0,29830.369900099
485,1989.0,20069.0,67841.0,6.0,44468.297939667995
486,1989.0,20069.0,67841.0,7.0,44468.297939667995
487,1989.0,20069.0,67841.0,8.0,44468.297939667995
