,YEAR,COUNTY,NGROUP,AVG_WAGE
430,1989.0,20021.0,11.0,32885.349389557
431,1989.0,20021.0,12.0,26113.684326892002
432,1989.0,20021.0,13.0,26113.684326892002
433,1989.0,20021.0,14.0,26113.684326892002
434,1989.0,20021.0,15.0,19003.951358511
435,1989.0,20021.0,16.0,19003.951358511
436,1989.0,20021.0,17.0,9987.432946305
437,1989.0,20021.0,18.0,9987.432946305
438,1989.0,20021.0,19.0,24388.301173939
439,1989.0,20021.0,20.0,24388.301173939
440,1989.0,20015.0,1.0,33027.585276718
441,1989.0,20015.0,2.0,33027.585276718
442,1989.0,20015.0,3.0,32003.074611225
443,1989.0,20015.0,4.0,44431.192925626
444,1989.0,20015.0,5.0,50823.562289195
445,1989.0,20015.0,6.0,32003.074611225
446,1989.0,20015.0,7.0,32003.074611225
447,1989.0,20015.0,8.0,32003.074611225
448,1989.0,20015.0,9.0,53060.17008006
449,1989.0,20015.0,10.0,38442.855937181004
450,1989.0,20015.0,11.0,27944.198352964
451,1989.0,20015.0,12.0,38537.679861955
452,1989.0,20015.0,13.0,38537.679861955
453,1989.0,20015.0,14.0,38537.679861955
454,1989.0,20015.0,15.0,27793.716907127004
455,1989.0,20015.0,16.0,27793.716907127004
456,1989.0,20015.0,17.0,11871.543103771
457,1989.0,20015.0,18.0,11871.543103771
458,1989.0,20015.0,19.0,21935.247467829
459,1989.0,20015.0,20.0,21935.247467829
460,1989.0,8099.0,1.0,31543.384715038
461,1989.0,8099.0,2.0,31543.384715038
462,1989.0,8099.0,3.0,29224.321337413
463,1989.0,8099.0,4.0,36076.380597169
464,1989.0,8099.0,5.0,37498.739468779
465,1989.0,8099.0,6.0,29224.321337413
466,1989.0,8099.0,7.0,29224.321337413
467,1989.0,8099.0,8.0,29224.321337413
468,1989.0,8099.0,9.0,38127.463317824
469,1989.0,8099.0,10.0,33524.380186947004
470,1989.0,8099.0,11.0,26361.051087172003
471,1989.0,8099.0,12.0,31951.5398695
472,1989.0,8099.0,13.0,31951.5398695
473,1989.0,8099.0,14.0,31951.5398695
474,1989.0,8099.0,15.0,24178.039427701002
475,1989.0,8099.0,16.0,24178.039427701002
476,1989.0,8099.0,17.0,13440.26064188
477,1989.0,8099.0,18.0,13440.26064188
478,1989.0,8099.0,19.0,26027.105960794
479,1989.0,8099.0,20.0,26027.105960794
480,1990.0,29145.0,1.0,31572.119007525
481,1990.0,29145.0,2.0,31572.119007525
482,1990.0,29145.0,3.0,28628.67360665
483,1990.0,29145.0,4.0,33568.9680137
484,1990.0,29145.0,5.0,37717.172462375
485,1990.0,29145.0,6.0,28628.67360665
486,1990.0,29145.0,7.0,28628.67360665
487,1990.0,29145.0,8.0,28628.67360665
488,1990.0,29145.0,9.0,51356.765967825
489,1990.0,29145.0,10.0,30105.285751275
490,1990.0,29145.0,11.0,26297.38661805
491,1990.0,29145.0,12.0,26972.129915925
492,1990.0,29145.0,13.0,26972.129915925
493,1990.0,29145.0,14.0,26972.129915925
494,1990.0,29145.0,15.0,32727.98361345
495,1990.0,29145.0,16.0,32727.98361345
496,1990.0,29145.0,17.0,13091.97575645
497,1990.0,29145.0,18.0,13091.97575645
498,1990.0,29145.0,19.0,17304.7208684
499,1990.0,29145.0,20.0,17304.7208684
500,1990.0,29097.0,1.0,35078.828378800004
501,1990.0,29097.0,2.0,35078.828378800004
502,1990.0,29097.0,3.0,33033.08493075
503,1990.0,29097.0,4.0,35692.94256875
504,1990.0,29097.0,5.0,41006.790511725
505,1990.0,29097.0,6.0,33033.08493075
506,1990.0,29097.0,7.0,33033.08493075
507,1990.0,29097.0,8.0,33033.08493075
508,1990.0,29097.0,9.0,38691.149744525
509,1990.0,29097.0,10.0,36678.65451695
510,1990.0,29097.0,11.0,31840.060549
511,1990.0,29097.0,12.0,36893.7900612
512,1990.0,29097.0,13.0,36893.7900612
513,1990.0,29097.0,14.0,36893.7900612
514,1990.0,29097.0,15.0,39385.45081915
515,1990.0,29097.0,16.0,39385.45081915
516,1990.0,29097.0,17.0,13007.877316425
517,1990.0,29097.0,18.0,13007.877316425
518,1990.0,29097.0,19.0,22837.615910975
519,1990.0,29097.0,20.0,22837.615910975
520,1990.0,20205.0,1.0,32417.014963125
521,1990.0,20205.0,2.0,32417.014963125
522,1990.0,20205.0,3.0,25739.989980675
523,1990.0,20205.0,4.0,32417.014963125
524,1990.0,20205.0,5.0,41010.702067075
525,1990.0,20205.0,6.0,25739.989980675
526,1990.0,20205.0,7.0,25739.989980675
527,1990.0,20205.0,8.0,25739.989980675
528,1990.0,20205.0,9.0,32417.014963125
529,1990.0,20205.0,10.0,40154.071445425
530,1990.0,20205.0,11.0,24814.907140400002
531,1990.0,20205.0,12.0,36772.53184535
532,1990.0,20205.0,13.0,36772.53184535
533,1990.0,20205.0,14.0,36772.53184535
534,1990.0,20205.0,15.0,22857.173687725
535,1990.0,20205.0,16.0,22857.173687725
536,1990.0,20205.0,17.0,8947.682863125
537,1990.0,20205.0,18.0,8947.682863125
538,1990.0,20205.0,19.0,32417.014963125
539,1990.0,20205.0,20.0,32417.014963125
540,1990.0,20185.0,1.0,28763.622266225
541,1990.0,20185.0,2.0,28763.622266225
542,1990.0,20185.0,3.0,33326.451582
543,1990.0,20185.0,4.0,28763.622266225
544,1990.0,20185.0,5.0,28763.622266225
545,1990.0,20185.0,6.0,33326.451582
546,1990.0,20185.0,7.0,33326.451582
547,1990.0,20185.0,8.0,33326.451582
548,1990.0,20185.0,9.0,28763.622266225
549,1990.0,20185.0,10.0,38982.5606181
550,1990.0,20185.0,11.0,26009.887299825
551,1990.0,20185.0,12.0,30564.893504900003
552,1990.0,20185.0,13.0,30564.893504900003
553,1990.0,20185.0,14.0,30564.893504900003
554,1990.0,20185.0,15.0,19278.100542475
555,1990.0,20185.0,16.0,19278.100542475
556,1990.0,20185.0,17.0,9151.083741325
557,1990.0,20185.0,18.0,9151.083741325
558,1990.0,20185.0,19.0,28763.622266225
559,1990.0,20185.0,20.0,28763.622266225
560,1990.0,20173.0,1.0,45818.003592225
561,1990.0,20173.0,2.0,45818.003592225
562,1990.0,20173.0,3.0,38235.45354625
563,1990.0,20173.0,4.0,42993.860629525
564,1990.0,20173.0,5.0,62285.651615725
565,1990.0,20173.0,6.0,38235.45354625
566,1990.0,20173.0,7.0,38235.45354625
567,1990.0,20173.0,8.0,38235.45354625
568,1990.0,20173.0,9.0,49062.63875505
569,1990.0,20173.0,10.0,45510.94649725
570,1990.0,20173.0,11.0,37893.192453125
571,1990.0,20173.0,12.0,40046.5036733
572,1990.0,20173.0,13.0,40046.5036733
573,1990.0,20173.0,14.0,40046.5036733
574,1990.0,20173.0,15.0,48202.09657805
575,1990.0,20173.0,16.0,48202.09657805
576,1990.0,20173.0,17.0,18165.263045400003
577,1990.0,20173.0,18.0,18165.263045400003
578,1990.0,20173.0,19.0,28253.16429305
579,1990.0,20173.0,20.0,28253.16429305
580,1990.0,20155.0,1.0,37322.105372025
581,1990.0,20155.0,2.0,37322.105372025
582,1990.0,20155.0,3.0,37875.59045405
583,1990.0,20155.0,4.0,35628.401905475
584,1990.0,20155.0,5.0,46250.2304584
585,1990.0,20155.0,6.0,37875.59045405
586,1990.0,20155.0,7.0,37875.59045405
587,1990.0,20155.0,8.0,37875.59045405
588,1990.0,20155.0,9.0,42563.589541025
589,1990.0,20155.0,10.0,40292.93166035
590,1990.0,20155.0,11.0,33987.50443615
591,1990.0,20155.0,12.0,40142.336779375
592,1990.0,20155.0,13.0,40142.336779375
593,1990.0,20155.0,14.0,40142.336779375
594,1990.0,20155.0,15.0,39139.022832099996
